LI150	LI97	DCM_101	LI81	LI126	LI138	LI101	LI144	LI134	LI112	LI54	LI132	LI91	LI105	LI107	LI104	LI110	LI106	LI119	LI46	LI113	LI48	LI56	LI90	LI148	LI94	LI135	LI146	LI152	LI147	LI153	LI122	LI98	LI151	LI140	LI142	LI123	LI69	LI128	LI89	LI130	LI139	LI125	LI83	LI116	LI82	LI73	LI18	LI6	LI40	LI34	LI72	LI70	LI8	LI84	LI102	LI86	LI114	DCM_76	LI36	LI75	LI71	LI85	LI115	LI87	LI66	LI27	LI79	LI67	LI32	LI19	LI12	LI4	LI141	LI145	LI133	LI131	LI95	LI68	LI10	LI26	LI1	LI15	LI111	LI74	LI22	LI178	LI7	LI13	LI25	LI14	LI42	LI28	LI93	DCM_026	LI96	LI124	LI136	LI92	LI127	LI59	LI129	LI44	LI35	LI31	LI29	LI37	LI38	LI24	LI39																																																																																																														
RT	area																																																																																																																																																																																																																										
11.289	4170.5	12.113	6893			12.287	1120.7	13.323	10871.4	14.994	630			13.514	1431.7	13.322	4888.4	12.636	3277.6	14.352	637.7			12.477	721	14.066	594.3	13.322	6939	12.567	749.4	12.637	6111.4	18.867	5832.3	12.345	617.7	13.326	11985.8	12.116	9855.3	12.214	1407.2	14.005	17874.1	20.605	3015.9	15.572	45169.7			13.326	6800.4	13.325	7927.7	12.352	539.3	15.786	2008.2	13.324	12875.5	14.207	2908.1	16.706	1156.9	11.288	8521.5	16.211	533.8	12.639	5905.4	15.983	1447					16.495	1357.3	15.393	529.3	15.000	1471.7	12.123	11478.4	12.483	1678.2	14.079	869.1	11.567	527.2	13.336	10043.5	20.623	1515.2	15.396	1618.4	12.695	843.4	15.662	2611.2	15.799	1600.3	16.500	15634.3	19.449	804.1	14.561	840.9			16.502	34583.1	16.501	21999.5			12.695	1488.8	14.799	22538.6	22.309	691.9	14.012	16688.9	13.525	567.3	14.801	42687.9	14.801	31660.2	14.240	815.1									15.396	2008.4					14.803	10195.9	22.756	553.1			15.588	7689.3	11.521	6021.5	22.537	1609.6	17.412	37281.6			14.248	673.7			12.149	18846.2	19.467	1206.7	14.807	29457.2			22.321	751.9			15.010	4060.7	15.668	6187.1	22.313	657.3	18.372	1180			15.403	1229.2	14.218	933.2			13.529	1612.8	14.015	25370.4	15.189	1263.1	14.800	20400.8	14.289	815.7	12.646	6830.7	20.755	1216.2	15.189	746.5	16.225	1206.3	13.531	1858.8	12.166	7362.3		
11.403	2775.2	12.637	2957.9			12.567	571.7	13.519	1137.4	15.571	11636.3			14.002	22598.7	13.514	558.8	13.323	5376	14.546	870.6			12.637	7318	14.226	716.7	13.517	990.1	12.637	4437.4	12.842	552.7	19.094	980	12.638	4508	13.839	779.4	12.360	1335.5	12.258	1481.3	14.211	559.5	20.733	1559.1	15.785	7483.8			13.521	619.2	13.518	915.7	12.637	3703.7	15.983	592.8	13.518	1540.3	14.277	687.5	16.942	515.9	11.407	603.7	16.487	13617.1	13.325	16108.8	16.212	3188.8					17.394	1965.1	15.578	7514.2	15.392	688.8	12.320	555.9	12.570	5790.1	14.799	22407.3	11.714	611.5	13.527	910	20.758	865	15.584	46293.4	13.336	26460.8	15.797	4593.6	15.999	545	16.722	698.3	20.620	1835.8	14.803	71012.7			16.723	1319	16.722	730.5			13.334	29098.3	15.004	4468.2	22.525	1465.3	14.214	2156.1	14.013	11403	15.004	4096.1	15.004	7704.8	14.286	1077.8									15.584	54168.9					15.008	1922.1	22.922	1379.8			15.805	1151.3	11.745	770.2	22.745	1624.1	17.641	1220.4			14.808	21391.3			12.331	3145.2	20.636	1015.5	15.013	5141.9			22.539	1390.8			15.190	1221.4	15.804	6585.9	22.534	1167.4	19.468	618.5			15.589	31326.9	14.802	15366.8			13.599	597.4	14.216	3864.9	15.399	2416.6	15.005	2765.6	14.369	878.6	12.693	1535.2	21.595	10352.6	15.401	1505.8	16.504	36091.3	13.602	574.2	12.338	516		
11.492	1309	13.323	7961.6			12.637	3826.8	13.660	646.2	15.786	2139			14.203	4250.1	14.002	13226.8	13.515	759.4	14.787	60542.8			12.748	565.8	14.788	18638.3	14.002	23935.9	13.325	18258	13.324	15536.9	19.427	2196.9	13.325	11990.5	14.007	27679.6	12.566	681.3	12.321	1854.1	14.233	662.3	21.574	24044.6	15.983	1952.7			14.005	18422.2	13.839	567.1	13.325	10557.3	16.211	1162.1	13.837	681.8	14.357	600.4	17.388	32698.2	11.490	571.5	17.390	16191.4	13.519	2301.3	16.487	54020.3					18.095	507.5	15.659	1428.4	15.579	23108.2	12.359	1005	12.645	6039.4	15.003	2123.9	12.032	6735.9	14.015	27170.4	21.593	11336.1	15.664	5212.8	13.465	549.5	15.994	1323.8	16.223	1413.8	17.401	21829.6	20.756	1373.2	15.006	8569.6			16.955	797.5	17.403	34291.2			13.528	1414.5	15.185	1317	22.725	1057.2	14.287	622	14.217	1677.8	15.188	1246.8	15.107	675.5	14.367	827.5									15.663	3537.1					15.192	610.3					16.230	591.4	11.776	676.7	22.924	2094	17.886	583			15.014	3271			12.492	1181.1	20.764	808.9	15.112	579.5			22.738	1424.3			15.401	2797.2	15.909	681.8	22.734	1088					15.668	2272.4	15.005	2680.5			13.670	696.5	14.290	1054.2	15.587	71801.4	15.188	710.4	14.562	1436.9	13.334	29530.6	21.936	510.3	15.585	44261.1	16.724	1307.4	13.672	662.3	12.660	7855.9		
11.544	785.7	13.448	838.6			12.746	723.5	13.837	726.4	15.984	565			14.275	986.3	14.203	1469.6	14.002	17737.4	14.989	7859.7			12.878	502.7	14.990	2841.5	14.204	2979.3	13.447	561.1	13.515	2805.1	20.602	4632.5	13.451	537.9	14.068	4206.7	12.638	7312.6	12.483	1142.2	14.278	521.8	21.915	1502.5	16.210	4048.4			14.209	708.5	14.004	21715.1	13.518	1155.2	16.484	17973	14.002	26040.2	14.551	919.5	17.617	1851.6	12.022	1163	18.353	805.9	13.591	624	16.671	1225.8					18.736	2958	15.796	1243.4	15.793	3727.9	12.642	7091.1	12.695	3203.4	15.185	756.1	12.130	19339.5	14.219	1933	21.934	926	15.799	4541.2	13.531	719.8	16.222	2729.5	16.501	41359.8	17.632	530	21.594	10086.6	15.106	720.5			17.200	597.9	17.632	1116.8			13.553	1120.8	15.395	3293.5	22.911	1624.3	14.366	595.2	14.561	569.5	15.397	2794.6	15.188	2255.7	14.561	1123.7									15.797	6560.4					15.401	1055.7					16.505	18160.4	12.035	9779			18.376	1602.1			15.195	916.5			12.582	1248.9	21.607	6404	15.194	1381.3			22.920	2171.3			15.589	36630.9	16.000	1991.7	22.917	1427					15.806	6590.4	15.190	765			13.850	744.1	14.368	984	15.801	8246.5	15.397	1255	14.803	83850.9	13.527	3260.7	22.093	912.6	15.664	2838.4	16.953	856.6	13.851	768.5	12.707	1874.4		
11.621	761.2	13.516	969.5			13.324	14004.1	14.004	45089.8	16.209	1066.2			14.353	805.7	14.548	677.9	14.204	2586.7	15.089	686.7			13.322	19335.9	15.173	897.7	14.275	654	13.517	811.5	13.587	538	20.733	2143.2	13.520	1367.4	14.234	2487.5	12.749	654.3	12.575	737.6	14.358	534.4	22.070	2245.9	16.450	32602.9			14.233	990.4	14.067	2477.2	13.838	530.1	17.387	26979.1	14.066	2612.1	14.791	34800	17.862	669.1	12.113	9094.5	21.583	1162.2	13.660	708.6	16.710	1613.2					18.875	5513.5	16.219	787.1	15.989	1029	13.330	16459	12.763	2708	15.395	1954	12.329	2544.4	14.291	852	22.091	1244.7	15.906	551.5	13.556	687.1	16.499	80411.2	16.726	1922.8	18.366	1165.3	21.927	675.8	15.187	3141.5			17.401	49856.4	18.364	2691.7			13.597	939.6	15.583	44947.9	23.598	690	14.560	967.8	14.800	21786.9	15.585	148324.7	15.397	5229.9	14.800	43379.6									15.905	519.4					15.587	30449.2					16.731	726.5	12.145	51308			18.458	1062.8			15.405	2014			12.651	11301.2	21.953	635.6	15.404	3716.4			23.603	844.5			15.670	8337.4	16.112	716.3	23.603	633.1					15.909	719.8	15.399	1679.7			14.015	42783.8	14.563	1643.1	15.910	885.2	15.584	65256.1	15.006	7986.4	13.598	852.1	22.308	657.4	15.799	4974.2	17.200	611.5	14.019	39326.9	13.348	39400.6		
11.670	805.6	14.002	24096.4			13.455	712.8	14.231	3368.8	16.451	6472.5			14.548	1319.2	14.787	30596.5	14.276	623	15.171	2202.4			13.517	2270.4	15.381	1727.3	14.353	618.8	13.542	586.3	13.658	618	20.869	857.8	13.660	610.3	14.275	1063	13.326	15500.4	12.639	30518.8	14.552	1004.2	22.288	1354.7	16.482	23125.2			14.276	737.8	14.228	2940	14.004	30006.9	17.617	993.2	14.209	3789.8	14.993	7341	18.124	514	12.359	1694.9			13.839	951.8	16.944	768.3					19.106	812.9	16.495	25692.2	16.217	1858.5	13.458	884	12.887	532.4	15.581	58239	12.435	533	14.369	723.1	22.308	751.8	15.995	1404	13.599	581.6	16.721	3864.6	16.953	1073.5	18.445	802.6	22.091	1129.3	15.397	6385.4			17.633	1775.5	18.448	1167			13.669	1255	15.662	11968			14.799	26047.3	15.003	4263.8	15.796	14007.5	15.586	96478.1	15.004	7691.7									15.995	1823.7					15.802	4671.9					17.409	28741.4	12.329	7924.4			19.472	1330.6			15.593	42251.6			12.698	2546.8	22.111	814.3	15.593	74045.2							15.806	6758.4	16.229	4042.4							16.002	1483.4	15.585	44315.8			14.218	5346.1	14.801	46947.7	15.997	2335.1	15.797	7255.2	15.108	660.6	13.669	954.1	22.531	1404.6	15.997	1336.5	17.404	45118.1	14.082	4141.8	13.543	3079.8		
11.834	700.7	14.205	2357.8			13.517	703.6	14.277	1155.5	16.486	9819.6			14.787	39127	14.990	5408.1	14.354	563.4	15.378	4651.1			13.586	913.1	15.567	52147.8	14.547	1208.7	13.658	717.4	13.837	907.9	20.939	571.3	13.839	690.4	14.357	1002.4	13.519	1465	12.843	548.1	14.791	37287.9	22.510	2738.4	16.669	4109.5			14.358	646.1	14.275	1038.2	14.208	1644.8	18.349	3337.4	14.272	1284.7	15.095	517.6	18.350	2996.2	12.564	945.8			14.005	57881.6	16.967	685.4					19.434	2285.7	16.715	700.2	16.494	31753.6	13.525	1129.9	12.914	512.9	15.661	5851.2	12.490	1404.6	14.562	1135.8	22.524	1343.6	16.223	2861.4	13.671	970	16.948	1832.7	17.197	755.1	18.886	1661.3	22.312	820.3	15.586	142114			17.878	925.2	19.460	1388.6			13.848	1650.2	15.797	8576.6			15.003	4172.7	15.185	1295.4	15.908	1317.5	15.798	18792	15.104	876.7									16.223	3870.7					15.998	1493					17.637	1317.2	12.494	3829.9							15.671	4639.7			12.783	1150	22.321	757.1	15.672	11180.4							15.999	1535.4	16.509	127144.4							16.117	595.8	15.800	6745.8			14.291	1983.9	15.006	9747.4	16.111	671	15.996	1815.8	15.189	2397.1	13.848	1257.6	22.731	1096.1	16.224	2822.2	17.636	1821.6	14.221	4393.6	13.612	1137.6		
12.021	10236.2	14.277	818.1			13.657	601.1	14.356	1433	16.673	776.6			14.989	10418.6	15.173	1553.2	14.547	934.4	15.568	146215.4			13.658	1141.7	15.781	6349.1	14.786	59016	13.837	1070.5	14.003	63905.7	21.574	34235.5	14.004	46604.4	14.553	1516.9	13.663	620.1	12.881	1060.1	14.995	6309.8	22.709	2687.3	16.971	1647			14.551	1045.9	14.356	881.5	14.232	1849.1	19.443	818	14.355	930.9	15.176	1999.4	18.436	1005	12.639	4183.9			14.210	4037.8	17.185	886.7					19.799	541.9	16.946	694.3	16.677	1134	13.548	583	12.949	971.4	15.799	6133.4	12.575	2206.2	14.803	64482.2	22.732	1171.5	16.503	108867.4	13.850	1311.5	17.195	1624.3	17.404	59239.1	19.113	673.3	22.527	1604.6	15.663	12662.1			18.136	728.6	22.943	733.2			14.014	56532.3	15.993	2050.9			15.187	1092	15.395	2859.3	15.995	4128.6	15.905	1688	15.185	2270.3									16.501	102847.8					16.226	2940.6					17.696	3494.8	12.577	6459.5							15.808	7375.1			12.855	783.9	22.539	1986.8	15.807	12234.8							16.112	788.4	16.730	5478.7							16.230	3540.8	15.910	576.9			14.368	1991.7	15.108	730.8	16.227	4279.4	16.225	3753.1	15.399	4942.7	14.015	48145.4	22.915	1468.5	16.503	77965.1	17.878	786.6	14.290	1718.5	13.684	1529.3		
12.117	16164.5	14.354	738.8			13.837	732.4	14.549	2801.5	16.970	586.2			15.173	2368.7	15.381	3271.4	14.787	34180.9	15.780	15444			13.835	1509.2	15.891	506.1	14.989	9231.8	14.003	72262	14.206	12009.8	21.909	2546.2	14.210	1693.9	14.627	580.9	13.839	757.1	12.947	693.4	15.095	537.4	22.890	3235.3	17.187	1015.1			14.790	35958.3	14.551	1505.6	14.276	1247.5	21.580	1373	14.549	1320.1	15.384	3862.8	18.864	620.4	12.751	568.1			14.230	4084.9	17.388	85774.7					20.608	5095.6	17.396	32042.1	16.714	954.3	13.592	713.3	13.021	975	15.905	677.1	12.648	20584.2	15.007	8450.7	22.909	1629.2	16.723	3792.2	14.017	69097.9	17.404	122394.6	17.632	1542.3	19.452	1311.7	22.727	1058.3	15.798	15794.5			18.366	3293.6					14.078	9743	16.105	1003.7			15.395	2155.5	15.583	62361.4	16.107	771.1	15.995	5356.1	15.395	4827.3									16.721	4056.3					16.469	14945.3					17.880	742.8	12.652	24970.9							16.003	1742.9			12.893	995.4	22.743	1352	15.914	1279.2							16.228	3196.5	16.956	2897							16.508	86888.7	15.997	1842.1			14.563	2977.7	15.189	2857.2	16.507	144141.9	16.465	27239	15.589	272020	14.079	12122.7	23.595	1017.7	16.725	3683.9	18.138	622.7	14.371	1258.6	13.864	2082.8		
12.255	2069	14.549	1365.8			14.002	39398.6	14.790	134282.2	17.388	30153.1			15.383	4920	15.569	87117.5	14.988	6160.6	15.888	1318.4			14.003	53312.9	15.979	1861.2	15.091	642.8	14.233	4124	14.276	2055.6	21.990	514.1	14.233	2461.1	14.793	108221.1	14.006	51742.2	13.118	953.2	15.178	1984.8	23.562	1526.3	17.389	101746.6			14.993	7741	14.791	79846.9	14.356	1140	21.890	1749.3	14.789	66403.5	15.572	102871.9	19.445	1549.8	13.324	16206.8			14.279	2260	17.619	3047.3					20.745	2474	17.626	746.9	16.977	879.9	13.664	1254	13.123	593.6	15.994	1710.2	12.890	634.8	15.107	710.5	23.602	564.2	16.951	2194.3	14.077	5073.7	17.630	4141.3	17.879	974.8	20.620	1677.3	22.910	1647.5	15.906	1224.8			18.450	1368.2					14.243	5466.6	16.221	4808			15.583	112338.2	15.796	10597.1	16.222	9098.4	16.108	1812.9	15.583	90715.3									16.951	2200.4					16.505	21404.9					18.373	2046.1	12.700	6292.5							16.119	743.1			12.958	933.2	22.923	2144.7	16.003	3114.9							16.318	500.5	17.202	2066							16.728	2989.5	16.111	549.5			14.802	49448.8	15.398	5696.6	16.727	5882.6	16.500	29828.6	15.800	25776.5	14.220	5855.6			16.952	1629.8	18.370	2434.7	14.564	1685.1	14.030	72385.8		
12.321	3134.7	14.787	50548.7			14.066	3283.1	14.990	14338.9	17.616	1140			15.571	128674.1	15.782	13721.3	15.172	1843.2	15.977	4123.6			14.229	6495	16.093	506.3	15.173	2425.7	14.277	1744.6	14.355	2203.2	22.070	3938.5	14.279	1425.6	14.995	14708.2	14.208	2271.1	13.327	52087.6	15.387	4558.3	24.102	1568.9	17.617	5441.5			15.095	594.1	14.991	13136.3	14.551	1703	22.305	890.1	14.991	15568.8	15.787	17539.9	21.580	1190.8	13.446	1125.7			14.358	2198.7	17.860	1590					20.880	579.1	17.870	543.2	17.195	652.7	13.844	877	13.333	42531.6	16.107	527.9	12.954	630.7	15.187	2207.9			17.197	1684.9	14.246	3902.3	17.875	2002.3	18.135	902.7	20.753	1201.6	23.598	529.9	15.996	5306.8			19.462	1479.6					14.285	3135.7	16.503	212226.3			15.796	15944.3	15.905	787.4	16.504	216403.7	16.224	11542.6	15.662	10872									17.198	1687.1					16.688	1557.4					18.457	1059.9	12.784	1551							16.233	3038.1			13.034	583.4			16.116	975.8							16.508	122979.4	17.413	147060.7							16.957	2609.2	16.225	3817.6			15.007	12186.3	15.588	167810.2	16.861	524.6	16.682	2383.9	15.908	1940.8	14.281	2823.5			17.202	1365.4	18.454	1657.8	14.807	108969.3	14.096	14714.1		
12.480	1536.5	14.993	8264.2			14.133	532	15.094	1231.4	18.345	3779.5			15.782	28332.1	15.890	1294.6	15.382	3837.6	16.089	1319.6			14.275	2724.3	16.205	3803.8	15.381	4803.3	14.355	2212.1	14.451	642.6	22.281	2055.5	14.357	1571.6	15.095	1499.8	14.231	1937.6	13.521	6123.4	15.575	103240.5			17.859	2037.4			15.177	2215.8	15.094	1008.1	14.790	56203.1	22.372	592	15.091	906.7	15.894	1407.8			13.545	1325.2			14.453	567.9	18.119	1231.6					20.952	1459.1	18.360	1836.4	17.396	52357.8	14.009	56624	13.458	1096.2	16.221	3690.2	13.127	861.6	15.398	4932			17.406	150628.7	14.287	2051.7	18.135	1960.5	18.365	2265.2	21.594	10354.6			16.110	1404.7			21.606	515.4					14.366	2313.8	16.721	7733.5			15.907	1543.3	15.993	2852.8	16.721	7813.6	16.315	694.8	15.798	14224.7									17.406	148322.3					16.720	1186.9					18.915	6870.1	12.856	1893.8							16.510	96728.9			13.131	784			16.232	8014.8							16.727	5283.1	17.638	5865.7							17.122	1414.5	16.503	66038.5			15.108	1203.2	15.800	28441.7	16.954	2851.7	16.718	1170.7	15.997	7214.1	14.367	1460.5			17.407	109637.8	19.463	1675.9	15.010	17065.4	14.258	6831.6		
12.563	3499.7	15.091	719			14.232	2892.9	15.175	6501.9	18.866	2668.2			15.889	1700.2	15.978	3645	15.569	114553	16.204	8361.5			14.353	2637.6	16.483	89190.3	15.572	202444.7	14.452	588.5	14.548	4056.6	22.507	3375.9	14.551	2783.7	15.176	4977.1	14.281	1611.3	13.591	1700.1	15.788	15407			18.119	1641.3			15.386	4905.2	15.176	4440.9	14.994	11605.5	22.508	847.4	15.173	3552.7	15.982	4871.9			13.659	785.2			14.552	3687.9	18.348	6627.3					21.583	37709.7	18.443	1404.1	17.626	2901	14.241	3991.8	13.555	2077.1	16.500	149153.8	13.338	63057	15.587	179196			17.633	4955.2	14.367	2258.2	18.363	7961.3	18.450	2756.1	21.728	654.9			16.222	9983.1									14.454	804.1	16.854	532.2			15.995	4523.8	16.108	912.7	16.855	713.2	16.503	229859	15.903	1637.4									17.630	4067.6					16.986	1125.2					19.043	1357.4	12.896	2294							16.733	4971.1			13.340	51161.2			16.320	612.8							16.954	2946.2	17.727	531.6							17.203	2991.6	16.688	1608.7			15.190	3128.7	15.910	2219.2	17.200	2057.1	16.986	1239.9	16.110	1132.4	14.452	745.1			17.633	4719	21.601	1572.4	15.110	1285.2	14.299	3466.2		
12.637	40517.4	15.173	2396			14.275	1231.4	15.384	11714.7	19.093	658.9			15.979	6886.3	16.091	1048	15.779	18829.4	16.295	868.3			14.447	666.5	16.665	1694.1	15.782	27860.3	14.550	4288.9	14.790	136342.6	22.704	2153.9	14.791	90793.1	15.387	10651.9	14.358	1582.4	13.662	1695.7	15.894	1167.2			18.349	12140.3			15.575	106255.4	15.384	8446.8	15.095	1052.6	22.649	949.6	15.383	8151.3	16.096	1341.5			13.839	1123.6			14.631	536.9	18.430	1446.5					21.707	975.2	18.875	874.4	17.871	1089.4	14.283	1510.2	13.595	901.4	16.721	4378.5	13.531	5562.9	15.799	20851.3			17.715	532.7	14.460	556.9	18.448	6606.6	18.885	1687.5	21.938	812.8			16.314	762.2									14.561	3116.5	16.946	4968.8			16.108	794.5	16.221	5910.5	16.952	3699.7	16.721	11680.5	15.993	3949.7									17.873	2297.6					17.205	727.6					19.113	539.1	12.956	2536.7							16.960	2376.6			13.466	1183.3			16.516	287642.7							17.202	2162.1	17.883	2889.6							17.413	170864.8	16.721	2371.7			15.400	7121.5	15.998	8695.4	17.410	198579.1	17.202	1287.6	16.226	14725.1	14.562	1832.6			17.877	1817.3	22.537	519.2	15.192	4222.4	14.383	2736.5		
12.838	1188.3	15.383	5817.3			14.355	1223.6	15.580	504695.9	19.432	2168.6			16.093	1913.7	16.206	7432.8	15.891	1429.6	16.486	237900.8			14.548	3905	16.704	2640.7	15.891	2157.6	14.793	217775.9	14.989	28141.4	22.889	4354.7	14.992	13562.3	15.578	262428.2	14.551	2603.8	13.841	2228.2	15.983	4560.6			19.361	1251.1			15.786	19013.7	15.575	222801.3	15.176	3088.9	22.745	1038.1	15.572	152734.5	16.209	9495.5			14.005	47265.3			14.792	129457.8	19.359	742.2					21.919	2237.2	19.449	1541.9	18.134	866.8	14.362	1729.4	13.667	1790.3	16.950	2526.4	13.600	2009.4	15.908	1652.9			17.876	2420.1	14.563	3365.3	19.374	993.3	19.114	615	22.088	1173.7			16.507	287334.7									14.635	1331.8	17.194	3221.3			16.222	9617.9	16.500	107410.1	17.113	537.2	16.856	1212.8	16.105	1327.2									18.136	1938.2					17.408	51370.7					19.380	896.7	13.038	1693.2							17.207	1760.6			13.561	4063.8			16.730	9238							17.412	121614.3	18.141	2353							17.638	4479.3	16.957	902.4			15.589	178502.2	16.111	1873.8	17.636	7486.7	17.405	84507.8	16.317	853.4	14.637	1086.8			18.138	1571.3	22.764	731.9	15.403	8755.2	14.475	1143.7		
12.879	1269.1	15.571	154941.8			14.549	2043.6	15.785	53903.5	20.605	2394			16.205	13989.9	16.296	578	15.980	5241.5	16.703	9944.8			14.626	852.4	16.933	879.9	15.979	7330.5	14.992	22228.2	15.093	1936.1	23.559	1907	15.096	1312.3	15.788	29163.1	14.793	82699.5	14.008	91281.2	16.098	1300.4			19.443	3962			15.895	1375	15.784	31032.5	15.386	6588.2	22.837	771.2	15.648	12866.1	16.299	608.8			14.234	4962.4			14.994	23674.1	19.440	2542.4					21.990	518	20.612	506.3	18.358	5241.4	14.557	2806.4	13.846	2714.9	17.194	1681.1	13.671	2714.4	15.997	5243.2			18.138	2160.7	14.637	689	19.457	9357	19.459	3512	22.304	919.7			16.723	11244.3									14.803	183363.5	17.408	275696			16.465	43809.2	16.683	2748.4	17.197	3182.2	16.949	6984.6	16.222	7811.8									18.363	8043.9					17.636	2241.5					19.467	2173.1	13.132	2120.2							17.415	118723.3			13.603	1547.6			16.864	626.6							17.636	4797	18.370	7299.3							17.882	2958.7	16.978	1056.7			15.801	38755.4	16.226	18608.4	17.880	3394.9	17.635	4070.7	16.510	364729.7	14.806	208068.7			18.369	7253.2	22.923	1590.9	15.593	270620.1	14.578	3600.3		
12.945	1371.9	15.783	24359.3			14.789	111346.4	15.895	4387.2	20.732	1353.5			16.295	870.4	16.486	155453.6	16.091	1161.7	16.836	785.9			14.788	115946.2	16.961	1175.6	16.093	1734.5	15.092	2088	15.175	7161.5	24.096	865.5	15.177	4353.3	15.894	3024.2	14.995	13203.4	14.072	11437.2	16.211	9658.8			21.579	769.2			15.983	5107.3	15.894	2460.9	15.575	168061.7	22.895	829	15.783	31009.6	16.454	51887.5			14.356	1482.3			15.096	1858.7	21.582	659.4					22.081	3436.4	21.585	5944.3	18.441	827.2	14.631	538.7	14.013	91671.4	17.406	235456.9	13.850	3844.1	16.110	1436.6			18.364	9679.8	14.804	152921.2	21.597	1196.1	20.624	1962.4	22.528	1330.8			16.859	868.2									15.006	29503.4	17.630	8891.7			16.498	74690.5	16.718	3664.9	17.414	479003.1	17.113	903.5	16.311	1029.3									18.449	4599.2					17.880	1143.4					19.779	1944.4	13.190	967.9							17.641	5490.4			13.674	2247.5			16.957	6012.4							17.729	585.7	18.458	6931.8							18.143	4565.3	17.203	1519.6			15.910	3667.5	16.316	932.8	18.139	2967.5	17.878	1399.5	16.725	14156.2	15.006	29556.7			18.452	3695.1			15.805	35616.3	14.654	1444.6		
13.115	1570.4	15.891	2265.4			14.992	14220.6	15.983	20306.9	21.573	14993.8			16.489	215990.2	16.668	2874.5	16.207	10390.8	16.930	4750			14.990	22729.4	17.181	1350.5	16.207	14143.4	15.174	9456.1	15.287	843.8	25.606	1602.2	15.386	9447.3	15.984	8888.2	15.097	1228.8	14.208	12430.6	16.304	529.4							16.098	1676.7	15.983	10125.4	15.787	29867.9	23.037	678.4	15.980	6362.1	16.489	103287.5			14.453	560.2			15.177	6857.9							22.294	2195.2	22.081	596.1	18.880	995	14.798	121017.4	14.078	11770.7	17.630	7108	14.019	127420.3	16.225	11136.8			18.450	7939.3	15.006	21321.4			20.757	1138.3	22.735	1054.9			16.949	6240.3									15.103	2781.3	17.719	939.2			16.682	3639.8	16.854	610.8	17.633	14264.6	17.197	4654.6	16.504	238798.7									18.889	1348.5					18.140	1058					21.603	3568.9	13.342	125986.6							17.884	2399.5			13.853	3077.4			17.207	4958.6							17.881	2582.1	18.895	557							18.369	19751.6	17.407	97748			15.999	10193.3	16.471	104737.4	18.368	17615.4	18.141	1128.1	16.860	1161	15.107	1721			18.889	578.2			15.910	2619.9	14.824	297072.1		
13.322	47096.2	15.981	6913.5			15.092	1278.2	16.094	3831.1	22.070	1365.2			16.668	7604.7	16.703	4484.5	16.294	596.3	17.092	629.1			15.092	2683.2	17.386	131812.8	16.297	840.2	15.384	17250	15.384	11674.4			15.578	341596.8	16.097	3731.8	15.178	3534.6	14.277	4776.8	16.493	207277.5							16.211	11382.5	16.096	2663	15.894	2615.1	23.140	581.9	16.094	2476.6	16.671	4784.1			14.549	2783.8			15.287	719.5							22.515	4074.2	22.518	1025.6	19.368	844.2	15.001	14917.6	14.247	4322.8	17.874	2963.8	14.080	15658.5	16.316	662.7			18.887	2107.7	15.106	1876			21.596	12175.5	22.910	2158.6			17.112	556.5									15.186	8164.7	17.874	5391.2			16.719	3513.9	16.975	3171.9	17.719	1271	17.411	363470.5	16.720	10684.5									19.113	727.5					18.369	6505					22.423	2390.9	13.534	4837.4							18.146	2354.4			14.022	120304.5			17.424	534698.9							18.142	1937.9	19.383	1311.7							18.455	6222	17.635	4575.9			16.112	2683.4	16.507	141054.5	18.456	9362	18.365	12452.9	16.955	6477.9	15.188	7157.1			19.377	1515.8			16.000	8407.1	15.023	34501.7		
13.426	575.3	16.092	2171.8			15.173	4002.8	16.208	35556.2	22.285	1084.2			16.702	7424.5	16.839	728.6	16.484	168714.8	17.178	4160.2			15.173	7471.6	17.610	5161.9	16.450	106711.7	15.584	810988.3	15.580	526696.9			15.787	46604.5	16.212	17248.7	15.387	8220.4	14.360	2897.7	16.711	9077.4							16.492	226856	16.210	19018.6	15.982	7887.8	23.275	1181.3	16.208	14121.3	16.704	4842.8			14.791	109492.2			15.387	13711.5							22.713	3777.1	22.730	573.8	19.454	2397.4	15.101	1465.6	14.284	3280.5	18.131	2506	14.241	14518.7	16.508	310539.2			19.119	729	15.188	6427.1			22.092	1030.1					17.196	4999.9									15.297	670	18.135	4099			16.856	873.7	17.113	521.4	17.775	536.4	17.631	14847.1	16.854	763.1									19.375	1408.7					18.891	692.6					22.535	1483.8	13.562	3953.2							18.375	8403.7			14.085	14122.1			17.642	14996.6							18.370	8253.7	19.465	7875.3							18.753	519.4	17.878	2087.7			16.227	24473.3	16.686	8791.4	18.889	1473.1	18.600	596.2	17.121	863	15.399	14915.5			19.463	6009			16.116	2684.4	15.124	3602.1		
